Date,Open,High,Low,Close,AdjClose,Volume
16-11-2015,17229.93945,17483.00977,17210.42969,17483.00977,17483.00977,137590000
17-11-2015,17486.99023,17599.33008,17451.41016,17489.5,17489.5,167190000
18-11-2015,17485.49023,17752.16016,17485.49023,17737.16016,17737.16016,106810000
19-11-2015,17739.83008,17772.9707,17681.98047,17732.75,17732.75,114630000
20-11-2015,17732.75,17914.33984,17732.75,17823.81055,17823.81055,153140000
23-11-2015,17823.60938,17868.17969,17751.5293,17792.67969,17792.67969,134680000
24-11-2015,17770.90039,17862.59961,17683.50977,17812.18945,17812.18945,127170000
25-11-2015,17820.81055,17854.91992,17801.83008,17813.39063,17813.39063,82540000
27-11-2015,17806.03906,17830.35938,17749.32031,17813.39063,17813.39063,82540000
30-11-2015,17802.83984,17837.24023,17719.78906,17719.91992,17719.91992,155560000
01-12-2015,17719.7207,17895.5,17719.7207,17888.34961,17888.34961,103880000
02-12-2015,17883.14063,17901.58008,17708.19922,17729.67969,17729.67969,102860000
03-12-2015,17741.57031,17780.58984,17425.56055,17477.66992,17477.66992,126990000
04-12-2015,17482.67969,17866.4707,17482.67969,17847.63086,17847.63086,137650000
07-12-2015,17845.49023,17845.49023,17639.25,17730.50977,17730.50977,99670000
08-12-2015,17703.99023,17703.99023,17485.39063,17568,17568,113720000
09-12-2015,17558.17969,17767.68945,17403.50977,17492.30078,17492.30078,122020000
10-12-2015,17493.16992,17697.74023,17474.66016,17574.75,17574.75,107310000
11-12-2015,17574.75,17574.75,17230.5,17265.21094,17265.21094,134510000
14-12-2015,17277.10938,17378.01953,17138.4707,17368.5,17368.5,142540000
15-12-2015,17374.7793,17627.63086,17341.17969,17524.91016,17524.91016,123430000
16-12-2015,17530.84961,17784.35938,17483.67969,17749.08984,17749.08984,123790000
17-12-2015,17756.53906,17796.75977,17493.5,17495.83984,17495.83984,115780000
18-12-2015,17495.03906,17496.58008,17124.31055,17128.55078,17128.55078,344560000
21-12-2015,17154.93945,17272.35938,17116.73047,17251.61914,17251.61914,114910000
22-12-2015,17253.55078,17451.10938,17242.85938,17417.26953,17417.26953,91570000
23-12-2015,17427.63086,17607.91992,17427.63086,17602.60938,17602.60938,92820000
24-12-2015,17593.25977,17606.33984,17543.94922,17552.16992,17552.16992,40350000
28-12-2015,17535.66016,17536.90039,17437.33984,17528.26953,17528.26953,59770000
29-12-2015,17547.36914,17750.01953,17547.36914,17720.98047,17720.98047,69860000
30-12-2015,17711.93945,17714.13086,17588.86914,17603.86914,17603.86914,59760000
31-12-2015,17590.66016,17590.66016,17421.16016,17425.0293,17425.0293,93690000
04-01-2016,17405.48047,17405.48047,16957.63086,17148.93945,17148.93945,148060000
05-01-2016,17147.5,17195.83984,17038.60938,17158.66016,17158.66016,105750000
06-01-2016,17154.83008,17154.83008,16817.61914,16906.50977,16906.50977,120250000
07-01-2016,16888.35938,16888.35938,16463.63086,16514.09961,16514.09961,176240000
08-01-2016,16519.16992,16651.89063,16314.57031,16346.4502,16346.4502,141850000
11-01-2016,16358.70996,16461.84961,16232.03027,16398.57031,16398.57031,127790000
12-01-2016,16419.10938,16591.34961,16322.07031,16516.2207,16516.2207,117480000
13-01-2016,16526.63086,16593.50977,16123.2002,16151.41016,16151.41016,153530000
14-01-2016,16159.00977,16482.05078,16075.12012,16379.04981,16379.04981,158830000
15-01-2016,16354.33008,16354.33008,15842.11035,15988.08008,15988.08008,239210000
19-01-2016,16009.4502,16171.95996,15900.25,16016.01953,16016.01953,144360000
20-01-2016,15989.4502,15989.4502,15450.55957,15766.74023,15766.74023,191870000
21-01-2016,15768.87012,16038.58984,15704.66016,15882.67969,15882.67969,145140000
22-01-2016,15921.09961,16136.79004,15921.09961,16093.50977,16093.50977,145850000
25-01-2016,16086.45996,16086.45996,15880.15039,15885.21973,15885.21973,123250000
26-01-2016,15893.16016,16185.79004,15893.16016,16167.23047,16167.23047,118210000
27-01-2016,16168.74023,16235.03027,15878.29981,15944.45996,15944.45996,138350000
28-01-2016,15960.28027,16102.13965,15863.71973,16069.63965,16069.63965,130120000
29-01-2016,16090.25977,16466.30078,16090.25977,16466.30078,16466.30078,217940000
01-02-2016,16453.63086,16510.98047,16299.46973,16449.17969,16449.17969,114450000
02-02-2016,16420.21094,16420.21094,16108.44043,16153.54004,16153.54004,126210000
03-02-2016,16186.2002,16381.69043,15960.4502,16336.66016,16336.66016,141870000
04-02-2016,16329.66992,16485.83984,16266.16016,16416.58008,16416.58008,131490000
05-02-2016,16417.94922,16423.63086,16129.80957,16204.96973,16204.96973,139010000
08-02-2016,16147.50977,16147.50977,15803.54981,16027.04981,16027.04981,165880000
09-02-2016,16005.41016,16136.62012,15881.11035,16014.37988,16014.37988,127740000
10-02-2016,16035.61035,16201.88965,15899.91016,15914.74023,15914.74023,122290000
11-02-2016,15897.82031,15897.82031,15503.00977,15660.17969,15660.17969,172070000
12-02-2016,15691.62012,15974.04004,15691.62012,15973.83984,15973.83984,132550000
16-02-2016,16012.38965,16196.41016,16012.38965,16196.41016,16196.41016,142030000
17-02-2016,16217.98047,16486.11914,16217.98047,16453.83008,16453.83008,124080000
18-02-2016,16483.75977,16511.83984,16390.42969,16413.42969,16413.42969,104950000
19-02-2016,16410.96094,16410.96094,16278,16391.99023,16391.99023,134340000
22-02-2016,16417.13086,16664.24023,16417.13086,16620.66016,16620.66016,102240000
23-02-2016,16610.39063,16610.39063,16403.5293,16431.7793,16431.7793,98170000
24-02-2016,16418.83984,16507.39063,16165.86035,16484.99023,16484.99023,93620000
25-02-2016,16504.38086,16697.98047,16458.41992,16697.28906,16697.28906,94120000
26-02-2016,16712.69922,16795.98047,16623.91016,16639.9707,16639.9707,98480000
29-02-2016,16634.15039,16726.11914,16510.40039,16516.5,16516.5,126220000
01-03-2016,16545.66992,16865.56055,16545.66992,16865.08008,16865.08008,105050000
02-03-2016,16851.16992,16900.16992,16766.32031,16899.32031,16899.32031,104470000
03-03-2016,16896.16992,16944.31055,16820.73047,16943.90039,16943.90039,91110000
04-03-2016,16945,17062.38086,16898.83984,17006.76953,17006.76953,106910000
07-03-2016,16991.28906,17099.25,16940.48047,17073.94922,17073.94922,100290000
08-03-2016,17050.66992,17072.78906,16921.50977,16964.09961,16964.09961,108380000
09-03-2016,16969.16992,17048.5,16947.93945,17000.35938,17000.35938,116690000
10-03-2016,17006.05078,17130.10938,16821.85938,16995.13086,16995.13086,117570000
11-03-2016,17014.99023,17220.08984,17014.99023,17213.31055,17213.31055,123420000
14-03-2016,17207.49023,17275.07031,17161.16016,17229.13086,17229.13086,96350000
15-03-2016,17217.15039,17251.69922,17120.34961,17251.5293,17251.5293,92830000
16-03-2016,17249.33984,17379.17969,17204.07031,17325.75977,17325.75977,118710000
17-03-2016,17321.38086,17529.00977,17297.65039,17481.49023,17481.49023,117990000
18-03-2016,17481.49023,17620.58008,17481.49023,17602.30078,17602.30078,321230000
21-03-2016,17589.69922,17644.9707,17551.2793,17623.86914,17623.86914,84410000
22-03-2016,17602.71094,17648.93945,17540.41992,17582.57031,17582.57031,95450000
23-03-2016,17588.81055,17588.81055,17486.26953,17502.58984,17502.58984,84240000
24-03-2016,17485.33008,17517.14063,17399.00977,17515.73047,17515.73047,84100000
28-03-2016,17526.08008,17583.81055,17493.0293,17535.39063,17535.39063,70460000
29-03-2016,17512.58008,17642.81055,17434.26953,17633.10938,17633.10938,86160000
30-03-2016,17652.35938,17790.10938,17652.35938,17716.66016,17716.66016,79330000
31-03-2016,17716.05078,17755.69922,17669.7207,17685.08984,17685.08984,102600000
01-04-2016,17661.74023,17811.48047,17568.01953,17792.75,17792.75,104890000
04-04-2016,17799.39063,17806.38086,17710.66992,17737,17737,85230000
05-04-2016,17718.0293,17718.0293,17579.56055,17603.32031,17603.32031,115230000
06-04-2016,17605.44922,17723.55078,17542.53906,17716.05078,17716.05078,99410000
07-04-2016,17687.2793,17687.2793,17484.23047,17541.96094,17541.96094,90120000
08-04-2016,17555.39063,17694.50977,17528.16016,17576.96094,17576.96094,79990000
11-04-2016,17586.48047,17731.63086,17555.90039,17556.41016,17556.41016,107100000
12-04-2016,17571.33984,17744.42969,17553.57031,17721.25,17721.25,81020000
13-04-2016,17741.66016,17918.34961,17741.66016,17908.2793,17908.2793,91710000
14-04-2016,17912.25,17962.14063,17885.43945,17926.42969,17926.42969,84510000
15-04-2016,17925.94922,17937.65039,17867.41016,17897.46094,17897.46094,118160000
18-04-2016,17890.19922,18009.5293,17848.2207,18004.16016,18004.16016,89390000
19-04-2016,18012.09961,18103.46094,17984.42969,18053.59961,18053.59961,89820000
20-04-2016,18059.49023,18167.63086,18031.21094,18096.26953,18096.26953,100210000
21-04-2016,18092.83984,18107.28906,17963.89063,17982.51953,17982.51953,102720000
22-04-2016,17985.05078,18026.84961,17909.89063,18003.75,18003.75,134120000
25-04-2016,17990.93945,17990.93945,17855.55078,17977.24023,17977.24023,83770000
26-04-2016,17987.38086,18043.76953,17934.16992,17990.32031,17990.32031,92570000
27-04-2016,17996.14063,18084.66016,17920.25977,18041.55078,18041.55078,109090000
28-04-2016,18023.88086,18035.73047,17796.55078,17830.75977,17830.75977,100920000
29-04-2016,17813.08984,17814.83008,17651.98047,17773.64063,17773.64063,136670000
02-05-2016,17783.7793,17912.34961,17773.71094,17891.16016,17891.16016,80100000
03-05-2016,17870.75,17870.75,17670.88086,17750.91016,17750.91016,97060000
04-05-2016,17735.01953,17738.06055,17609.00977,17651.25977,17651.25977,95020000
05-05-2016,17664.48047,17736.10938,17615.82031,17660.71094,17660.71094,81530000
06-05-2016,17650.30078,17744.53906,17580.38086,17740.63086,17740.63086,80020000
09-05-2016,17743.84961,17783.16016,17668.38086,17705.91016,17705.91016,85590000
10-05-2016,17726.66016,17934.60938,17726.66016,17928.34961,17928.34961,75790000
11-05-2016,17919.0293,17919.0293,17711.05078,17711.11914,17711.11914,87390000
12-05-2016,17711.11914,17798.18945,17625.38086,17720.5,17720.5,88560000
13-05-2016,17711.11914,17734.74023,17512.48047,17535.32031,17535.32031,86640000
16-05-2016,17531.75977,17755.80078,17531.75977,17710.71094,17710.71094,88440000
17-05-2016,17701.46094,17701.46094,17469.91992,17529.98047,17529.98047,103260000
18-05-2016,17501.2793,17636.2207,17418.21094,17526.61914,17526.61914,79120000
19-05-2016,17514.16016,17514.16016,17331.07031,17435.40039,17435.40039,95530000
20-05-2016,17437.32031,17571.75,17437.32031,17500.93945,17500.93945,111990000
23-05-2016,17507.03906,17550.69922,17480.05078,17492.92969,17492.92969,87790000
24-05-2016,17525.18945,17742.58984,17525.18945,17706.05078,17706.05078,86480000
25-05-2016,17735.08984,17891.71094,17735.08984,17851.50977,17851.50977,79180000
26-05-2016,17859.51953,17888.66016,17803.82031,17828.28906,17828.28906,68940000
27-05-2016,17826.84961,17873.2207,17824.73047,17873.2207,17873.2207,73190000
31-05-2016,17891.5,17899.24023,17724.0293,17787.19922,17787.19922,147390000
01-06-2016,17754.55078,17809.17969,17664.78906,17789.66992,17789.66992,78530000
02-06-2016,17789.05078,17838.56055,17703.55078,17838.56055,17838.56055,75560000
03-06-2016,17799.80078,17833.16992,17689.67969,17807.06055,17807.06055,82270000
06-06-2016,17825.68945,17949.67969,17822.81055,17920.33008,17920.33008,71870000
07-06-2016,17936.2207,18003.23047,17936.2207,17938.2793,17938.2793,78750000
08-06-2016,17931.91016,18016,17931.91016,18005.05078,18005.05078,71260000
09-06-2016,17969.98047,18005.2207,17915.88086,17985.18945,17985.18945,69690000
10-06-2016,17938.82031,17938.82031,17812.33984,17865.33984,17865.33984,90540000
13-06-2016,17830.5,17893.2793,17731.34961,17732.48047,17732.48047,101690000
14-06-2016,17710.76953,17733.91992,17595.78906,17674.82031,17674.82031,93740000
15-06-2016,17703.65039,17762.96094,17629.00977,17640.16992,17640.16992,94130000
